""
John Megna
Frank Overton
Ellen Burstyn
Jared Leto
Jennifer Connelly
Peter OToole
Alec Guinness
Anthony Quinn
Malcolm McDowell
Patrick Magee
Michael Bates
Lamberto Maggiorani
Enzo Staiola
Lianella Carell
Edna Purviance
Jackie Coogan
Shah Rukh Khan
Gayatri Joshi
Kishori Balal
Harvey Keitel
Tim Roth
Michael Madsen
Jim Carrey
Kate Winslet
Tom Wilkinson
Cybill Shepherd
Kajol
Amrish Puri
Gene Kelly
Donald OConnor
Debbie Reynolds
Bette Davis
Anne Baxter
George Sanders
Eijir\xf4 T\xf4no
Tatsuya Nakadai
Paul Newman
Robert Redford
Robert Shaw
Machiko Ky\xf4
Masayuki Mori
F. Murray Abraham
Tom Hulce
Elizabeth Berridge
Walter Huston
Tim Holt
Graham Chapman
John Cleese
Eric Idle
Matthew Modine
R. Lee Ermey
Vincent DOnofrio
Jack Lemmon
Shirley MacLaine
Nobuo Kaneko
Shinichi Himori
Alida Valli
Jason Statham
Benicio Del Toro
Gian Maria Volont\xe9
Brigitte Helm
Alfred Abel
Gustav Fr\xf6hlich
Saif Ali Khan
Akshaye Khanna
Keir Dullea
Gary Lockwood
William Sylvester
Marilyn Monroe
Tony Curtis
Michael Caine
Ken Watanabe
Diane Kruger
Eli Roth
Michelle Pfeiffer
Steven Bauer
Jean Arthur
Claude Rains
Don Rickles
Sean Connery
Alison Doody
Gene Hackman
Steve McQueen
James Garner
Richard Attenborough
Mads Mikkelsen
Thomas Bo Larsen
Annika Wedderkopp
Karl Malden
Buster Keaton
Marion Mack
Glen Cavender
Cathy Moriarty
Bruno Ganz
Alexandra Maria Lara
Ulrich Matthes
Edward Asner
Jordan Nagai
John Ratzenberger
Victor Sj\xf6str\xf6m
Bibi Andersson
Ingrid Thulin
Mack Swain
Tom Murray
Akira Terao
Jinpachi Nez
Faye Dunaway
John Huston
Hitoshi Takagi
Noriko Hidaka
Chika Sakamoto
Spencer Tracy
Burt Lancaster
Richard Widmark
Ranbir Kapoor
Priyanka Chopra
Ileana
Max von Sydow
Gunnar Bj\xf6rnstrand
Bengt Ekerot
Val Kilmer
Ivana Baquero
Ariadna Gil
Sergi L\xf3pez
Jack Hawkins
Bruce Willis
Alan Rickman
